study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
McIntosh_Drozdowski_Degenhardt_etal_2019,McIntosh,"McIntosh, A. C. S.; Drozdowski, B.; Degenhardt, D.; Powter, C. B.; Small, C. C.; Begg, J.; Farr, D.; Janz, A.; Lupardus, R. C.; Ryerson, D.; Schieck, J.",2019,Monitoring ecological recovery of reclaimed wellsites: Protocols for quantifying recovery on forested lands.,MethodsX,article,https://doi.org/10.1016/j.mex.2019.03.031,https://ostrnrcan-dostrncan.canada.ca/entities/publication/06c9230c-bd29-4dae-81d6-7c7aa7426e24,NRCan OSTR
Whitman_Whitman_Woolet_etal_2019,Whitman,"Whitman, T.; Whitman, E.; Woolet, J.; Flannigan, M. D.; Thompson, D. K.; Parisien, M. -A.",2019,Soil bacterial and fungal response to wildfires in the Canadian boreal forest across a burn severity gradient.,Soil Biology and Biochemistry,article,https://doi.org/10.1016/j.soilbio.2019.107571,https://ostrnrcan-dostrncan.canada.ca/entities/publication/1a750e11-e576-4c21-aa8c-a71c9ad6d3db,NRCan OSTR
Mansuy_Valeria_Laamrani_etal_2018,Mansuy,"Mansuy, N.; Valeria, O.; Laamrani, A.; Fenton, N. J.; Guindon, L.; Bergeron, Y.; Beaudoin, A.; Légaré, S.",2018,Digital mapping of paludification in soils under black spruce forests of eastern Canada.,Geoderma Regional,article,https://doi.org/10.1016/j.geodrs.2018.e00194,https://ostrnrcan-dostrncan.canada.ca/entities/publication/2ab4a598-55b5-4a20-9ad9-a3ba6816bbdc,NRCan OSTR
Ols_Girardin_Hofgaard_etal_2017,Ols,"Ols, C.; Girardin, M. -P.; Hofgaard, A.; Bergeron, Y.; Drobyshev, I.",2017,Monitoring climate sensitivity shifts in tree-rings of eastern boreal North America using model-data comparison,Ecosystems,article,https://doi.org/10.1007/s10021-017-0203-3,https://ostrnrcan-dostrncan.canada.ca/entities/publication/4d310fe6-4e63-4d56-8960-5070921ea2c2,NRCan OSTR
Kohlenberg_Turetsky_Thompson_etal_2018,Kohlenberg,"Kohlenberg, A. J.; Turetsky, M. R.; Thompson, D. K.; Branfireun, B. A.; Mitchell, C. P. J.",2018,Controls on boreal peat combustion and resulting emissions of carbon and mercury.,Environmental Research Letters,article,https://doi.org/10.1088/1748-9326/aa9ea8,https://ostrnrcan-dostrncan.canada.ca/entities/publication/326d9c68-d02d-40fc-b772-2da6573e0991,NRCan OSTR
Preston_Simard_Bergeron_etal_2017,Preston,"Preston, C. M.; Simard, M.; Bergeron, Y.; Bernard, G. M.; Wasylishen, R. E.",2017,"Charcoal in forest floor and surface mineral soil in a boreal forest fire chronosequence of Western Quebec: stocks, depth distribution, chemical properties and a synthesis of related studies",Frontiers in Earth Science,article,https://doi.org/10.3389/feart.2017.00098,https://ostrnrcan-dostrncan.canada.ca/entities/publication/271f1c31-b6c4-4404-97ae-2036aa2c6f7d,NRCan OSTR
Kenny_Conrod_Gallant_etal_2016,Kenny,"Kenny, F.; Conrod, D.; Gallant, G.; Smith, B.; MacRitchie, S.; Grgic, D.",2016,"Near real-time water quantity monitoring data assets collected, managed, analyzed and disseminated by the MNRF and MOECC",NA,report,https://doi.org/10.4095/297731,https://ostrnrcan-dostrncan.canada.ca/entities/publication/c47691e9-b553-41ef-a92d-fb3f635b87ea,NRCan OSTR
Startsev_Bhatti_Jassal_2016,Startsev,"Startsev, N.; Bhatti, J. S.; Jassal, R. S.",2016,"Surface CO2  exchange dynamics across a climatic gradient in McKenzie Valley: effect of landforms, climate and permafrost.",Forests,article,https://doi.org/10.3390/f7110279,https://ostrnrcan-dostrncan.canada.ca/entities/publication/b5cd2da5-2c11-47dc-91a7-df3358f8b399,NRCan OSTR
Girardin_Bouriaud_Hogg_etal_2016,Girardin,"Girardin, M. -P.; Bouriaud, O.; Hogg, E. H.; Kurz, W. A.; Zimmermann, N. E.; Metsaranta, J. M.; de Jong, R.; Frank, D.; Esper, J.; Büntgen, U.; Guo, X. J.; Bhatti, J. S.",2016,No growth stimulation of Canada’s boreal forest under half-century of combined warming and CO2 fertilization.,NA,conference-material,https://doi.org/http://www.pnas.org/content/113/52/E8406.full,https://ostrnrcan-dostrncan.canada.ca/entities/publication/f5717a1d-2601-49ff-a496-38ca53e1bf4c,NRCan OSTR
Thompson_Simpson_Beaudoin_2016,Thompson,"Thompson, D. K.; Simpson, B. N.; Beaudoin, A.",2016,Using forest structure to predict the distribution of treed boreal peatlands in Canada.,Forest Ecology and Management,article,https://doi.org/10.1016/j.foreco.2016.03.056,https://ostrnrcan-dostrncan.canada.ca/entities/publication/f86d799a-78be-42ee-98af-1b7e0384eee5,NRCan OSTR
Schott_Snively_Landhäusser_etal_2015,Schott,"Schott, K. M.; Snively, A. E. K.; Landhäusser, S. M.; Pinno, B. D.",2015,Nutrient loaded seedlings reduce the need for field fertilization and vegetation management on boreal forest reclamation sites.,New Forests,article,https://doi.org/10.1007/s11056-015-9522-4,https://ostrnrcan-dostrncan.canada.ca/entities/publication/2654c340-f83c-4a4b-9efb-0d1be5484541,NRCan OSTR
Ferster_Trofymow_Coops_etal_2015,Ferster,"Ferster, C. J.; Trofymow, J. A.; Coops, N. C.; Chen, B.; Black, T. A.",2015,"Comparison of carbon stock changes and cumulative carbon fluxes from inventory ground plots, eddy-covariance flux-towers and model estimates in an age sequence of coastal Douglas-fir stands in British Columbia.",Forest Ecosystems,article,https://doi.org/10.1186/s40663-015-0038-3,https://ostrnrcan-dostrncan.canada.ca/entities/publication/4e530595-f04d-4d02-b325-964c52aa7481,NRCan OSTR
Kokelj_Lantz_Wolfe_etal_2014,Kokelj,"Kokelj, S. V.; Lantz, T. C.; Wolfe, S. A.; Kanigan, J. C.; Morse, P. D.; Coutts, R.; Molina-Giraldo, N.; Burn, C.",2014,"Distribution and activity of ice wedges across the forest-tundra transition, western Arctic Canada",Journal of Geophysical Research: Earth Surface,article,https://doi.org/10.1002/2014jf003085,https://ostrnrcan-dostrncan.canada.ca/entities/publication/10aa0b4c-483d-4e6e-bb40-898882e27d23,NRCan OSTR
