study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Grecchi_Beuchle_Shimabukuro_etal_2017,Grecchi,Rosana Cristina Grecchi;René Beuchle;Yosio Edemir Shimabukuro;Luiz E. O. C. Aragão;Egídio Arai;Dario Simonetti;Frédéric Achard,2017,"An integrated remote sensing and GIS approach for monitoring areas affected by selective logging: A case study in northern Mato Grosso, Brazilian Amazon",International Journal of Applied Earth Observation and Geoinformation,article,https://doi.org/10.1016/j.jag.2017.05.001,https://doi.org/10.1016/j.jag.2017.05.001,OpenAlex
NA_1999,NA,NA,1999,Encyclopedia of environmental science,Choice Reviews Online,article,https://doi.org/10.5860/choice.37-1895,https://doi.org/10.5860/choice.37-1895,OpenAlex
Geider_DeLucia_Falkowski_etal_2001,Geider,Richard J. Geider;Evan H. DeLucia;Paul G. Falkowski;Adrien C. Finzi;J. Philip Grime;John Grace;Todd M. Kana;Julie La Roche;Stephen P. Long;Bruce Osborne;T Platt;I. Colin Prentice;John A. Raven;William H. Schlesinger;Victor Smetacek;Venetia Stuart;Shubha Sathyendranath;Richard B. Thomas;Tom C. Vogelmann;Peter Williams;F. I. Woodward,2001,Primary productivity of planet earth: biological determinants and physical constraints in terrestrial and aquatic habitats,Global Change Biology,article,https://doi.org/10.1046/j.1365-2486.2001.00448.x,https://doi.org/10.1046/j.1365-2486.2001.00448.x,OpenAlex
Kleinschroth_Gourlet‐Fleury_Sist_etal_2015,Kleinschroth,Fritz Kleinschroth;Sylvie Gourlet‐Fleury;Plínio Sist;Frédéric Mortier;John R. Healey,2015,Legacy of logging roads in the Congo Basin: How persistent are the scars in forest cover?,Ecosphere,article,https://doi.org/10.1890/es14-00488.1,https://doi.org/10.1890/es14-00488.1,OpenAlex
Burn_Smith_1990,Burn,C. R. Burn;Michael W. Smith,1990,"Development of thermokarst lakes during the holocene at sites near Mayo, Yukon territory",Permafrost and Periglacial Processes,article,https://doi.org/10.1002/ppp.3430010207,https://doi.org/10.1002/ppp.3430010207,OpenAlex
Kasischke_Bourgeau‐Chavez_French_1994,Kasischke,E. S. Kasischke;Laura Bourgeau‐Chavez;Nancy H. F. French,1994,Observations of variations in ERS-1 SAR image intensity associated with forest fires in Alaska,IEEE Transactions on Geoscience and Remote Sensing,article,https://doi.org/10.1109/36.285204,https://doi.org/10.1109/36.285204,OpenAlex
Nobert_2012,Nobert,Joel Nobert,2012,Hydrological Response of Watershed Systems to Land Use/Cover Change. A Case of Wami River Basin,The Open Hydrology Journal,article,https://doi.org/10.2174/1874378101206010078,https://doi.org/10.2174/1874378101206010078,OpenAlex
Heppelmann_Talbot_Antón‐Fernández_etal_2022,Heppelmann,Joachim B. Heppelmann;Bruce Talbot;Clara Antón‐Fernández;Rasmus Astrup,2022,Depth-to-water maps as predictors of rut severity in fully mechanized harvesting operations,International Journal of Forest Engineering,article,https://doi.org/10.1080/14942119.2022.2044724,https://doi.org/10.1080/14942119.2022.2044724,OpenAlex
White_Host_2008,White,Michael A. White;George E. Host,2008,"Forest disturbance frequency and patch structure from pre-European settlement to present in the Mixed Forest Province of Minnesota, USA",Canadian Journal of Forest Research,article,https://doi.org/10.1139/x08-065,https://doi.org/10.1139/x08-065,OpenAlex
Jones_Ratsimba_Ravaoarinorotsihoarana_etal_2014,Jones,Trevor Jones;Harifidy Rakoto Ratsimba;Lalao Ravaoarinorotsihoarana;Garth Cripps;Adia Bey,2014,Ecological Variability and Carbon Stock Estimates of Mangrove Ecosystems in Northwestern Madagascar,Forests,article,https://doi.org/10.3390/f5010177,https://doi.org/10.3390/f5010177,OpenAlex
Brasell_Mattay_1984,Brasell,H. M. Brasell;J. P. Mattay,1984,"Colonization by Bryophytes of Burned Eucalyptus Forest in Tasmania, Australia: Changes in Biomass and Element Content",The Bryologist,article,https://doi.org/10.2307/3242948,https://doi.org/10.2307/3242948,OpenAlex
Pastor_Navarro-Pedreño_Lucas_etal_2017,Pastor,Ignacio Meléndez Pastor;José Navarro-Pedreño;Ignacio Gómez Lucas;Antonis A. Zorpas,2017,A Model for Evaluating Soil Vulnerability to Erosion Using Remote Sensing Data and A Fuzzy Logic System,InTech eBooks,book-chapter,https://doi.org/10.5772/67989,https://doi.org/10.5772/67989,OpenAlex
Rengers_Tucker_Moody_etal_2016,Rengers,Francis K. Rengers;Gregory E. Tucker;John A. Moody;Brian A. Ebel,2016,Illuminating wildfire erosion and deposition patterns with repeat terrestrial lidar,Journal of Geophysical Research Earth Surface,article,https://doi.org/10.1002/2015jf003600,https://doi.org/10.1002/2015jf003600,OpenAlex
Coops_Stone_Culvenor_etal_2003,Coops,Nicholas C. Coops;Christine Stone;Darius Culvenor;Laurie Chisholm;Ray Merton,2003,Chlorophyll content in eucalypt vegetation at the leaf and canopy scales as derived from high resolution spectral data,Tree Physiology,article,https://doi.org/10.1093/treephys/23.1.23,https://doi.org/10.1093/treephys/23.1.23,OpenAlex
Psomiadis_Soulis_Efthimiou_2020,Psomiadis,Emmanouil Psomiadis;Konstantinos X. Soulis;Nikolaos Efthimiou,2020,Using SCS-CN and Earth Observation for the Comparative Assessment of the Hydrological Effect of Gradual and Abrupt Spatiotemporal Land Cover Changes,Water,article,https://doi.org/10.3390/w12051386,https://doi.org/10.3390/w12051386,OpenAlex
Lewis_Hudak_Ottmar_etal_2011,Lewis,Sarah A. Lewis;Andrew T. Hudak;Roger D. Ottmar;Peter R. Robichaud;Leigh B. Lentile;Sharon M. Hood;James B. Cronan;Penny Morgan,2011,"Using hyperspectral imagery to estimate forest floor consumption from wildfire in boreal forests of Alaska, USA",International Journal of Wildland Fire,article,https://doi.org/10.1071/wf09081,https://doi.org/10.1071/wf09081,OpenAlex
Chang_Hong_2011,Chang,Ni-Bin Chang;Yang Hong,2011,Multiscale Hydrologic Remote Sensing,CRC Press eBooks,book,https://doi.org/10.1201/b11279,https://doi.org/10.1201/b11279,OpenAlex
